Idx,Comment,Code,License,Label,Author,Datasets,Packages,Output Types,Output Names,Source,Title,Project description,Domain,Publication date,Date modified,DOI
9668 ThesisMLRCode.R 19,LDA  training the model,"model_lda = train(class ~ ., data=trainSet, method='lda', trControl = trainControl(method = ""cv"")) fitted <- predict(model_lda) ",CC-By Attribution 4.0 International,Statistical Modeling,Sabrina Di Lonardo Burr,['machine_learning.csv'],"['caret', 'kernlab', 'dplyr', 'gbm', 'ellipse', 'RANN', 'expss', 'klaR', 'MLeval']",None,None,https://osf.io/xuz8d/,Thesis,"R code for thesis machine learning 
    Hosted on the Open Science Framework",Psychology,2021-04-21,2021-04-21,None
2074 getObjects.r 1," function to extract the sequence ""Obj_xxx"" untile a period ""."" appears ","slice_object_string <- function(string) { gsub("".*Obj_(.*)\\..*"", ""\\1"", c(string)) } familiar_objects <- unlist(lapply(string_list, slice_object_string)) ",CC-By Attribution 4.0 International,Data Variable,Maleen Thiele,None,None,None,None,https://osf.io/yfegm/,Infants' Object Processing in the Context of Third-Party Social Interactions,"In this project we used a screen-based object-processing paradigm to investigate whether 9-month-old infants show superior processing of content presented within the context of an observed social interaction. Infants were presented with videos showing an object together with two adults. Based on a within-subjects 2x2 design, we manipulated the context of the scenarios with regard to the degree of third-party ostensive context between the two actors (ostensive or non-ostensive) and their look at the object (yes or no). By manipulating both variables we aimed to disentangle two factors that may have an impact on infants' object processing. To assess infants’ encoding performance we measured their looking times when the familiarized object subsequently appeared next to a novel object, assuming that an enhanced novelty preference would reversely indicate greater encoding of the familiarized object. Infants showed an increased novelty preference, but only after they had observed a joint attentional setting during which two adults attended to the familiarized object in an ostensive context (i.e., following mutual eye contact).

Note: In the published study (https://doi.org/10.1037/dev0001189), we refer to this project as “Experiment 1”. This OSF project is directly linked to the OSF project "" The Role of Ostensive Context and Others' Gaze on Infants' Object Processing"" (https://osf.io/dp5cg/). The supplemental information document (uploaded files section) contains information relevant for both studies, referring to the two studies as ""Experiment 1"" and ""Experiment 2"". 

 
    Hosted on the Open Science Framework",Social Science,2020-01-03,2021-12-01,10.17605/OSF.IO/YFEGM
11439 Chi-squaretests.R 1,ChiSquare tests Relations between diet type and major themes,"chisq.test(data$Diet, data$Health) #p = 0.94, chi-squared = 0.01 chisq.test(data$Diet, data$Food) #p = 0.44, chi-squared = 0.59 chisq.test(data$Diet, data$Social) #p = 0.80, chi-squared = 0.06 chisq.test(data$Diet, data$Logistic) #p = 0.17, chi-squared = 1.90 chisq.test(data$Diet, data$Finance) #p = 0.06, chi-squared = 3.61 chisq.test(data$Diet, data$Motivat.) #p = 0.76, chi-squared = 0.10 chisq.test(data$Diet, data$Diet.Cons.) #p = 0.05, chi-squared = 3.97 chisq.test(data$Diet, data$Other) #p = 1, chi-squared = 8.90e-29 chisq.test(data$Diet, data$Positive) #p = 0.16, chi-squared = 1.94 ",CC-By Attribution 4.0 International,Statistical Test,Faunalytics,['Abandoning veg diets - final.csv'],"['tidyverse', 'plyr']",None,None,https://osf.io/q2zrp/,Former Veg*ns: Reasons for abandoning veg*n diet goals,"This Faunalytics analysis looks at the obstacles faced by people who once pursued a veg*n diet and what they would need to resume being veg*n in their own words. 
    Hosted on the Open Science Framework",Psychology,2022-03-28,2023-03-07,None
1494 02_main-analysis.R 5,Hypotheses   Fit multivariate regression model,"moltenformula <- as.formula(""value ~ v - 1 + v:scipopgoertz + v:age + v:sex + v:lingreg_D + v:lingreg_I + v:urbanity_log + v:edu_uni + v:edu_com + v:sciprox_score + v:sciliteracy + v:rel + v:pol + v:inter_science + v:trust_science + v:trust_scientists + v:scimedia_att + v:scimedia_sat"") m_inx <- svyglm(moltenformula, design = svydsgn_melt_inx) ",CC-By Attribution 4.0 International,Statistical Modeling,Niels G. Mede,None,"['reshape2', 'survey', 'jtools']",{'PDF'},"{'03_outputs/PDF/scipop-estimates_jou_light.pdf', '03_outputs/PDF/scipop-estimates_eng_dark.pdf', '03_outputs/PDF/scipop-estimates_som_light.pdf', '03_outputs/PDF/scipop-estimates_som_dark.pdf', '03_outputs/PDF/scipop-estimates_eng_light.pdf', '03_outputs/PDF/scipop-estimates_inx_light.pdf', '03_outputs/PDF/scipop-estimates_jou_dark.pdf', '03_outputs/PDF/scipop-estimates_act_dark.pdf', '03_outputs/PDF/scipop-estimates_inx_dark.pdf', '03_outputs/PDF/scipop-estimates_act_light.pdf'}",https://osf.io/yhmbd/,Cognitio populi — Vox populi: Implications of science-related populism for communication behavior,"This project contains supplementary materials for our article “Cognitio populi — Vox populi: Implications of science-related populism for communication behavior”, published in Communications (doi: 10.1515/commun-2022-0059) 
    Hosted on the Open Science Framework",Social Science,2021-05-10,2023-05-03,None
10158 iip_estimate_bifactor.R 4,estimate bifactor model (maximum likelihood),"fit <- cfa(model, dat,estimator = ""MLM"", std.lv = TRUE) ",CC-By Attribution 4.0 International,Statistical Modeling,Leon P. Wendt,['C:/Users/Sera/Desktop/R Daten/iip_dat.csv'],"['MASS', 'lavaan', 'ggplot2', 'reshape2']",None,None,https://osf.io/qk3bf/,SITAR 2018: The Latent Structure of Interpersonal Problems,"This OSF page provides an R code to estimate and visualize a factor-analytic bifactor model (oblique g-factor) for the Inventory of Interpersonal Problems (Alden, Wiggins, & Pincus, 1990)

Example data is available (iip_dat.csv).

Data:
Huibers, M.J.H., Cohen, Z.D., Lemmens L.H.J.M, Arntz, A., Peeters, F.P.M.L, Cuijpers P., DeRubeis, R.J. (2015) Data from: Predicting optimal outcomes in cognitive therapy or interpersonal psychotherapy for depressed individuals using the Personalized Advantage Index approach. Dryad Digital Repository.    https://doi.org/10.5061/dryad.m112v 
    Hosted on the Open Science Framework",Psychology,2018-06-15,2022-09-06,None
10158 iip_estimate_bifactor.R 9,draw random factor scores from a multivariate normal distribution,"lat_scores <- mvrnorm(n = n, mu = mu, Sigma = sigma) ",CC-By Attribution 4.0 International,Statistical Modeling,Leon P. Wendt,['C:/Users/Sera/Desktop/R Daten/iip_dat.csv'],"['MASS', 'lavaan', 'ggplot2', 'reshape2']",None,None,https://osf.io/qk3bf/,SITAR 2018: The Latent Structure of Interpersonal Problems,"This OSF page provides an R code to estimate and visualize a factor-analytic bifactor model (oblique g-factor) for the Inventory of Interpersonal Problems (Alden, Wiggins, & Pincus, 1990)

Example data is available (iip_dat.csv).

Data:
Huibers, M.J.H., Cohen, Z.D., Lemmens L.H.J.M, Arntz, A., Peeters, F.P.M.L, Cuijpers P., DeRubeis, R.J. (2015) Data from: Predicting optimal outcomes in cognitive therapy or interpersonal psychotherapy for depressed individuals using the Personalized Advantage Index approach. Dryad Digital Repository.    https://doi.org/10.5061/dryad.m112v 
    Hosted on the Open Science Framework",Psychology,2018-06-15,2022-09-06,None
11751 educationestimatecentralitydefaults.R 3,function to create data summaries in figures,"data_summary <- function(x) { m <- mean(x) ymin <- m-ci(x) ymax <- m+ci(x) return(c(y=m,ymin=ymin,ymax=ymax)) } ",CC-By Attribution 4.0 International,Visualization,Mark Brandt,None,None,{'PNG'},{'figures/sup/educomparison.png'},https://osf.io/mj5nh/,NZAVS Belief System Centrality,"Correlation matrices and code for NZAVS Belief System Centrality project 
    Hosted on the Open Science Framework",Psychology,2018-01-09,2022-07-25,None
7990 SSK_Cleaned_copy.R 27,to get numbers for confidence intervals click on item in global environment and expand plot 95% credible intervals,"x<-plot(me, plot = FALSE)[[1]] + scale_color_grey() + scale_fill_grey() p<-x+ylim(0,1)+ theme(panel.grid.major = element_line(colour=""gray""), panel.grid.minor = element_blank(), panel.background = element_blank(), axis.line = element_blank(),panel.grid.major.x = element_blank())+xlab("""")+ylab("""") p ",CC0 1.0 Universal,Visualization,Ashley J. Thomas,"['SSK_Pilot_Long.csv', 'Data_Final.csv', 'Pilot Data items.csv', 'percentage.csv', 'SSK.csv']",None,None,None,https://osf.io/a8htx/,"Early representations of social intimacy: Infants, toddlers, and children use saliva sharing as a cue of close social affiliation",Hosted on the Open Science Framework,Social Science,2021-02-16,2022-05-01,10.17605/OSF.IO/A8HTX
3156 analysis.R 6," 1  Never, 2  I tried it but don't do it systematically, 3  I do it when it feels convenient, 4  I do it for most research projects/studies, 5  I do it for every research project/study.  Make dataframe 'Wish' with intentions to engage in open science practices ","wish = data[, 17:25] wish_complete = wish[,-9] # remove missing data wish = apply(wish, 2, as.numeric) wish = as.data.frame(unlist(wish)) colnames(wish) = c(""preregister"", ""sharedatas"", ""sharecode"", ""openaccess"", ""preprint"", ""openpeer"", ""opensw"", ""replicate"", ""other"") wish = t(wish) rowMeans(wish, na.rm = T) # mean apply(wish, 1, sd, na.rm = T) # standard deviation ",CC-By Attribution 4.0 International,Data Variable,Sandy Schumann,['variables_openscience_terrorismstudies_2018-10-23_14-45.csv'],['foreign'],None,None,https://osf.io/zv3uc/,Open Science and Terrorism Studies,Hosted on the Open Science Framework,Social Science,2018-07-20,2019-10-29,10.17605/OSF.IO/ZV3UC
5888 Cross-paradigm.R 2,generates 95% confidence intervals for each beta coefficient,"m.stakes_decision.CI <- round(confint(m.stakes_decision, parm = ""beta_""), 3) ",CC-By Attribution 4.0 International,Statistical Test,Justin Chung,None,"['lme4', 'lmerTest']",None,None,https://osf.io/uygpq/,Data and code for The Role of Emotion Regulation and Choice Repetition Bias in the Ultimatum Game,Hosted on the Open Science Framework,Social Science,2021-10-21,2021-10-21,None
9794 07_analysis_rheology.R 8,2.3 Loss tangents   We draw a diagram of loss tangents with logarithmic scale on the xaxis,"plot(graphData$Freq[graphData$site == ""wreck""], graphData$tan[graphData$site == ""wreck""], log = ""x"", axes = FALSE, xlab = """", ylab = """", type = ""b"", pch = PCH, col = col_wreck, xlim = c(0.01, 100), ylim = c(0, 15)) par(new = TRUE, ps = PS, mar = MAR) plot(graphData$Freq[graphData$site == ""beach""], graphData$tan[graphData$site == ""beach""], type = ""b"", log = ""x"", xlab = expression(""Frequency [rad s""^-1 *""]""), ylab = expression(paste(""tan "", delta)), pch = PCH, col = col_beach, axes = FALSE, xlim = c(0.01, 100), ylim = c(0, 15)) axis(1, at = c(0, 0.1, 1, 10, 100, 1000), labels = c(0, 0.1, 1, 10, 100, 100)) axis(2, at = c(-1 , 0, 3, 6, 9, 12, 15)) text(x = 0.01, y = 15, label = expression(bold(""c""))) abline(1, 0) ",CC-By Attribution 4.0 International,Visualization,Franz Brümmer,['data/Data_ReadSeaMP_Rheology_Final.txt'],None,None,None,https://osf.io/9jxzs/,In situ laboratory for plastic degradation in the Red Sea,"We provide reproducible R code and data sets accompanying the research article ""In situ laboratory for plastic degradation in the Red Sea"". 
    Hosted on the Open Science Framework",Psychology,2022-04-20,2022-06-29,None
9733 REL_corr_obs_descr.R 0,estimate mean average difference between observed and corrected values   check for sign reversals,"dat_analysis[sign(MA_ES_self_corr) == sign(MA_ES_self_obs), .N] # 46 (no sign rev) ",CC-By Attribution 4.0 International,Statistical Modeling,Magdalena Siegel,['es_obs_corr_R4.xlsx'],None,None,None,https://osf.io/dqc3y/,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology","Supplements, data and R code to reproduce analyses and figures reported in the paper 
    Hosted on the Open Science Framework",Psychology,2020-07-08,2021-10-04,None
417 02_measures.R 27,Step 3: Fit varyingintercept ESEM model,"esem_anti_fit_alt1F <- cfa(esem_anti_model_alt1F, esem_anti_data_alt, group = ""country_iso"", estimator = ""MLM"", group.equal = ""loadings"") ",CC-By Attribution 4.0 International,Statistical Modeling,Niels G. Mede,None,"['lavaan', 'psych']",None,None,https://osf.io/w4gey/,Legacy media as inhibitors and drivers of public reservations against science: Global survey evidence on the link between media use and anti-science attitudes,"This project contains all materials to reproduce the results presented in the main article and the appendix, i.e. the complete survey data, code, outputs, and pre-computed regression models. 
    Hosted on the Open Science Framework",Social Science,2021-06-13,2022-01-14,None
5 R Code First Year Paper Cas Goos Analysis.R 9,performing the chisquared comparisons across all the possible pairs,"pairwise.table(chi_squared_paired_comparison_1, rownames(hypotheses_per_research_area), p.adjust.method=""none"") pairwise.table(chi_squared_paired_comparison_2, rownames(hypotheses_per_research_area), p.adjust.method=""none"") ",GNU Lesser General Public License (LGPL) 3.0,Statistical Test,Hudson Golino,None,None,None,None,https://osf.io/4ya6x/,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections,"The past few years were marked by increased online offensive strategies perpetrated by state and non-state actors to promote their political agenda, sow discord and question the legitimacy of democratic institutions in the US and Western Europe. In 2016 the US congress identified a list of Russian state-sponsored Twitter accounts that were used to try to divide voters on a wide range of issues. Previous research used Latent Dirichlet Allocation (LDA) to estimate latent topics in data extracted from these accounts. Howerver, LDA is has characteristics that may pose significant limitations to be used in data from social media: the number of latent topics must be specified by the user, interpretability can be difficult to achieve, and it doesn’t model short-term temporal dynamics. In the current paper we propose a new method to estimate latent topics in texts from social media termed Dynamic Exploratory Graph Analysis (DynEGA). We compare DynEGA and LDA in a Monte-Carlo simulation in terms of their capacity to estimate the number of simulated latent topics. Finally, we apply the DynEGA method to a large dataset with Twitter posts from state-sponsored right- and left-wing trolls during the 2016 US presidential election. The results show that DynEGA is substantially more accurate to estimate the number of simulated topics than several different LDA algorithms. Our empirical example shows that DynEGA revealed topics that were pertinent to several consequential events in the election cycle, demonstrating the coordinated effort of trolls capitalizing on current events in the U.S. This demonstrates the potential power of our approach for revealing temporally relevant information from qualitative text data. 
    Hosted on the Open Science Framework",Psychology,2020-04-03,2021-11-08,None
5 R Code First Year Paper Cas Goos Analysis.R 51,chi squared test of criteria met by association type,"f_statistic <- chisq.test(data_hypotheses_long$association_type, data_hypotheses_long$reporting_criteria_met) f_statistic ",GNU Lesser General Public License (LGPL) 3.0,Statistical Test,Hudson Golino,None,None,None,None,https://osf.io/4ya6x/,Modeling latent topics in social media using Dynamic Exploratory Graph Analysis: The case of the right-wing and left-wing trolls in the 2016 US elections,"The past few years were marked by increased online offensive strategies perpetrated by state and non-state actors to promote their political agenda, sow discord and question the legitimacy of democratic institutions in the US and Western Europe. In 2016 the US congress identified a list of Russian state-sponsored Twitter accounts that were used to try to divide voters on a wide range of issues. Previous research used Latent Dirichlet Allocation (LDA) to estimate latent topics in data extracted from these accounts. Howerver, LDA is has characteristics that may pose significant limitations to be used in data from social media: the number of latent topics must be specified by the user, interpretability can be difficult to achieve, and it doesn’t model short-term temporal dynamics. In the current paper we propose a new method to estimate latent topics in texts from social media termed Dynamic Exploratory Graph Analysis (DynEGA). We compare DynEGA and LDA in a Monte-Carlo simulation in terms of their capacity to estimate the number of simulated latent topics. Finally, we apply the DynEGA method to a large dataset with Twitter posts from state-sponsored right- and left-wing trolls during the 2016 US presidential election. The results show that DynEGA is substantially more accurate to estimate the number of simulated topics than several different LDA algorithms. Our empirical example shows that DynEGA revealed topics that were pertinent to several consequential events in the election cycle, demonstrating the coordinated effort of trolls capitalizing on current events in the U.S. This demonstrates the potential power of our approach for revealing temporally relevant information from qualitative text data. 
    Hosted on the Open Science Framework",Psychology,2020-04-03,2021-11-08,None
419 twitter_analyze.R 2,Hastags   wordcloud of most common hashtags,"frequenthashes <- hashtable[hashtable>floor(quantile(hashtable,.999))] hashvec <- unlist(lapply(frequenthashes,function(x) rep(names(x),x))) stretched <- log10(frequenthashes-min(frequenthashes)+1)/max(log10(frequenthashes-min(frequenthashes)+1)) cols <- rgb(1- stretched,0,0) png(""hashcloud.png"",width = 12,heigh=12,units = ""cm"",res=300) wordcloud(names(frequenthashes),frequenthashes,random.order = F,colors=cols) dev.off() ",CC-By Attribution 4.0 International,Visualization,Mark Allen Thornton,['twitter_preprocessed.Rdata'],"['wordcloud', 'wordcloud', 'RColorBrewer', 'RColorBrewer', 'LSD', 'LSD', 'MASS', 'MASS', 'car', 'car', 'effects', 'effects']",None,None,https://osf.io/u3wby/,The Open Science Twitterverse,"Code and data for my informal examination of the open science twitterverse, reported here: http://markallenthornton.com/blog/open-science-twitter/ 
    Hosted on the Open Science Framework",Social Science,2016-01-26,2016-02-04,None
9652 Acloserlookatfixed-effectsregressioninsem_supplementarymaterials.R 3,Fit the model using unweighted least square (ULS),"m1.fit <- sem( m1, sample.cov = S, sample.nobs = 200, estimator = ""ULS"") ",GNU General Public License (GPL) 3.0,Statistical Modeling,Henrik Kenneth Andersen,"['https://osf.io/x4za3/download', 'https://osf.io/ef2ys/download']","['lavaan', 'plm', 'reshape2']",None,None,https://osf.io/vy763/,Supplemental materials for paper: A closer look at fixed effects regression in SEM,"R code to reproduce examples 
    Hosted on the Open Science Framework",Psychology,2019-12-06,2020-04-19,None
10939 3H_IRT_helper.R 14,Remove items that do not occur in the country,"items <- items[items$item %in% colnames(x_country), ] ",CC-By Attribution 4.0 International,Data Variable,Laura Zieger,None,['TAM'],None,None,https://osf.io/8fzns/,Code for 'Conditioning: How background variables can influence PISA scores',Hosted on the Open Science Framework,Psychology,2021-07-14,2021-07-14,None
10433 Everyday_Trust_Rcode.R 17,multilevel model (repeated measures) correlation using package rmcorr:,"td_corr <- rmcorr(subject, trust, distrust, td) td_corr ",CC-By Attribution 4.0 International,Statistical Modeling,Alexa Weiss,['Trust_final_OSF.RDS'],['rmcorr'],None,None,https://osf.io/kwp6n/,Trust in Everyday Life,"OSF project page for:

Weiss, A., Michels, C., Burgmer, P., Mussweiler, T., Ockenfels, A., & Hofmann, W. (2021). Trust in everyday life. Journal of Personality and Social Psychology, 121, 95–114. https://doi.org/10.1037/pspi0000334

Abstract: 
Although trust plays a pivotal role in many aspects of life, very little is known about the manifestation of trust and distrust in everyday life. In this work, we integrated several prior approaches to trust and investigated the prevalence and key determinants of trust (vs. distrust) in people’s natural environments, using preregistered experience-sampling methodology. Across more than 4,500 social interactions from a heterogeneous sample of 427 participants, results showed high average levels of trust, but also considerable variability in trust across contexts. This variability was attributable to aspects of trustee perception, social distance, as well as 3 key dimensions of situational interdependence: conflict of interests, information (un)certainty, and power imbalance. At the dispositional level, average everyday trust was shaped by general trust, moral identity, and zero-sum beliefs. The social scope of most trust-related traits, however, was moderated by social distance: Whereas moral identity buffered against distrusting distant targets, high general distrust and low social value orientation amplified trust differences between close vs. distant others. Furthermore, a laboratory-based trust game predicted everyday trust only with regard to more distant but not close interaction partners. Finally, everyday trust was linked to self-disclosure and to cooperation, particularly in situations of high conflict between interaction partners’ interests. We conclude that trust can be conceptualized as a relational hub that interconnects the social perception of the trustee, the relational closeness between trustor and trustee, key structural features of situational interdependence, and behavioral response options such as self-disclosure. 
    Hosted on the Open Science Framework",Psychology,2018-01-30,2022-05-14,None
7773 R Script for Field & Wilcox (2017).R 16,Robust growth model MLR estimator,"rctBoot <- growth(rctModel, data=rctWide, se = ""bootstrap"") summary(rctBoot) rctMLR <- growth(rctModel, data=rctWide, estimator = ""MLR"") summary(rctMLR) ",CC-By Attribution 4.0 International,Statistical Modeling,Andy Field,"['FieldLawson2003.csv', 'FieldCH2008.csv', 'Kellyetalz.csv', 'RCTLong.csv', 'RCTWide.csv', 'FieldLawson2003Long.csv']","['lavaan', 'lme4', 'nlme', 'reshape', 'robustbase', 'robustlmm', 'WRS2']",None,None,https://osf.io/fbj3z/,Robust statistical methods: a primer for clinical psychology and experimental psychopathology researchers,"Paper describing the utility and application of various robust methods in R 
    Hosted on the Open Science Framework",Social Science,2017-05-08,2017-05-26,None
11444 Ex2_BasicAnalysis_Answers.R 4,create a scatterplot of sleep quality and insomnia scores (FIRST). Add appropriate labels,"plot(Sleep_and_COVID19$PSQI_global, Sleep_and_COVID19$FIRST, main = ""Main title"", xlab = ""X axis title"", ylab = ""Y axis title"", frame = FALSE) ",CC0 1.0 Universal,Visualization,David Souto,['Sleep and COVID19.sav'],"['QuantPsyc', 'haven', 'readxl', 'readr', 'psych', 'haven']",None,None,https://osf.io/94jyp/,Open Science @ SoPVS,"All things Open Science going on at the School of Psychology and Vision Sciences at the University of Leicester. 

You will find (in due time):
* Mission statement (guiding principles, code of conduct)
* Open Science Lectures / Workshop Materials
* Agenda for OS events
* General information about OS

Open Science Team
 
Dr David Souto (ds572@le.ac.uk) 
Dr Sarah Gunn (sarah.gunn@leicester.ac.uk)
Dr Jayne Spiller (jkt12@le.ac.uk)
Dr Tamara Gheorghes (ds572@le.ac.uk) 
Dr Mahmoud Elsherif (me237@le.ac.uk)
Dr Samantha Tyler (slt49@le.ac.uk)
Milena Rota (mvr2@leicester.ac.uk)
Calum Hunt (ch553@leicester.ac.uk)
Faye Balcombe (fob5@leicester.ac.uk) 
    Hosted on the Open Science Framework",Psychology,2021-06-25,2024-02-16,None
11444 Ex2_BasicAnalysis_Answers.R 5,4) Ttest    Examine whether there is a significant difference in sleep quality in those who may have symptoms or been diagnosed with COVID,"t.test(PSQI_global ~ SymptomsOrPositive, data = Sleep_and_COVID19) ",CC0 1.0 Universal,Statistical Test,David Souto,['Sleep and COVID19.sav'],"['QuantPsyc', 'haven', 'readxl', 'readr', 'psych', 'haven']",None,None,https://osf.io/94jyp/,Open Science @ SoPVS,"All things Open Science going on at the School of Psychology and Vision Sciences at the University of Leicester. 

You will find (in due time):
* Mission statement (guiding principles, code of conduct)
* Open Science Lectures / Workshop Materials
* Agenda for OS events
* General information about OS

Open Science Team
 
Dr David Souto (ds572@le.ac.uk) 
Dr Sarah Gunn (sarah.gunn@leicester.ac.uk)
Dr Jayne Spiller (jkt12@le.ac.uk)
Dr Tamara Gheorghes (ds572@le.ac.uk) 
Dr Mahmoud Elsherif (me237@le.ac.uk)
Dr Samantha Tyler (slt49@le.ac.uk)
Milena Rota (mvr2@leicester.ac.uk)
Calum Hunt (ch553@leicester.ac.uk)
Faye Balcombe (fob5@leicester.ac.uk) 
    Hosted on the Open Science Framework",Psychology,2021-06-25,2024-02-16,None
11444 Ex2_BasicAnalysis_Answers.R 6,Examine whether there is a significant difference in mean sleep difficulty scores in those who undertake shiftwork,"t.test(PSQI_global ~ ShiftWork, data = Sleep_and_COVID19) ?t.test ",CC0 1.0 Universal,Statistical Test,David Souto,['Sleep and COVID19.sav'],"['QuantPsyc', 'haven', 'readxl', 'readr', 'psych', 'haven']",None,None,https://osf.io/94jyp/,Open Science @ SoPVS,"All things Open Science going on at the School of Psychology and Vision Sciences at the University of Leicester. 

You will find (in due time):
* Mission statement (guiding principles, code of conduct)
* Open Science Lectures / Workshop Materials
* Agenda for OS events
* General information about OS

Open Science Team
 
Dr David Souto (ds572@le.ac.uk) 
Dr Sarah Gunn (sarah.gunn@leicester.ac.uk)
Dr Jayne Spiller (jkt12@le.ac.uk)
Dr Tamara Gheorghes (ds572@le.ac.uk) 
Dr Mahmoud Elsherif (me237@le.ac.uk)
Dr Samantha Tyler (slt49@le.ac.uk)
Milena Rota (mvr2@leicester.ac.uk)
Calum Hunt (ch553@leicester.ac.uk)
Faye Balcombe (fob5@leicester.ac.uk) 
    Hosted on the Open Science Framework",Psychology,2021-06-25,2024-02-16,None
11444 Ex2_BasicAnalysis_Answers.R 9,"  6) Regression Analysis    Using multiple regression analysis, examine the influence of the age, hours worked, physical health, coffee drank  alertness and insomnia proneness on sleep quality ","model1 <- lm(PSQI_global ~ Age + WorkHour + Health + CoffeeToday + StanfordSleepinessScale + FIRST,  data = Sleep_and_COVID19) summary(model1) ",CC0 1.0 Universal,Statistical Modeling,David Souto,['Sleep and COVID19.sav'],"['QuantPsyc', 'haven', 'readxl', 'readr', 'psych', 'haven']",None,None,https://osf.io/94jyp/,Open Science @ SoPVS,"All things Open Science going on at the School of Psychology and Vision Sciences at the University of Leicester. 

You will find (in due time):
* Mission statement (guiding principles, code of conduct)
* Open Science Lectures / Workshop Materials
* Agenda for OS events
* General information about OS

Open Science Team
 
Dr David Souto (ds572@le.ac.uk) 
Dr Sarah Gunn (sarah.gunn@leicester.ac.uk)
Dr Jayne Spiller (jkt12@le.ac.uk)
Dr Tamara Gheorghes (ds572@le.ac.uk) 
Dr Mahmoud Elsherif (me237@le.ac.uk)
Dr Samantha Tyler (slt49@le.ac.uk)
Milena Rota (mvr2@leicester.ac.uk)
Calum Hunt (ch553@leicester.ac.uk)
Faye Balcombe (fob5@leicester.ac.uk) 
    Hosted on the Open Science Framework",Psychology,2021-06-25,2024-02-16,None
194 CSEP_DataScienceExPhys_DataGen_Akerman.R 19,Draw samples setting heart_rate_traj above as mean with appropriate constant variance (10 beats/min),"heart_rate <- rnorm(n = length(heart_rate_traj), mean = heart_rate_traj, sd = 10) ",CC-By Attribution 4.0 International,Statistical Modeling,Ashley Akerman,None,None,None,None,https://osf.io/skp56/,CSEP 2021: Data Science for the Modern Exercise Physiologist,"Data Repository and R scripts for short presentation at CSEP 2021 (Virtual).

CSV files are raw data generated using the R code with 'DataGen' embedded in the name.

R scripts reflect (i) the generation of the data, (ii) batch data handling and working with OSF via the osfr package.

The Rmarkdown script with '_abstract' embedded in the title contains the batch data handling code, but writes to a word template formatted for a conference abstract submission.

The word document with '_template' embedded in the title is generated using a separate Rmarkdown script (""abstract_template"" in title). This document is then adjusted in Word to properly format and set document parameters, before being used to write to. 
    Hosted on the Open Science Framework",Social Science,2021-10-13,2021-10-13,10.17605/OSF.IO/SKP56
7781 Aesthetic-Fidelity-Effect-Statistical Analyses.r 31,Computing pvalues based on the Fdistribution,"p_durable <- pf(q=Femp_durable, df1=Df_aest_durable, df2=Df_residual, lower.tail = F) p_nond <- pf(q=Femp_nond, df1=Df_aest_nond, df2=Df_residual, lower.tail = F) ",Other,Statistical Test,Jan R. Landwehr,"['1b-maternity.xlsx', '4-Pretest Study 4.xlsx', '2-Pretest Study 2.xlsx', '3-Experiment Usage Intensity.xlsx', '4-Experiment Durable vs Non-Durable.xlsx', '1a-Stern-Marken-12.xlsx', '1c-children.xlsx', '2-Experiment Aesthetic Fidelity.xlsx', '1a-Datensatz Autos.xlsx']","['readxl', 'psych', 'car']",None,None,https://osf.io/n3zfp/,Aesthetic Fidelity Effect,"Data and R-Code for the Paper ""Aesthetic Fidelity Effect"" International Journal of Research in Marketing 
    Hosted on the Open Science Framework",Social Science,2019-02-27,2019-02-27,10.17605/OSF.IO/N3ZFP
8963 Murrayetal_SurfaceR_Code.R 10,Logistic Regression Model  Creating null model and a logistic regression model based on all variables,"lr.null <- glm(Treatment ~ 1, data = dat2, family = binomial(link=""logit"")) lrm <- glm(Treatment ~ Sq + Ssk + Sku + Sp + Sv + Sz + Sa,data = dat2, family = binomial(link=""logit"")) summary(lrm) ",CC-By Attribution 4.0 International,Statistical Modeling,John K. Murray,"['Murrayetal_SurfaceRoughness_RAW.csv', 'Murrayetal_SiliconPeels.csv', 'Murrayetal_Silicon_Peel_Test.csv']","['gridExtra', 'ggplot2']",None,None,https://osf.io/fvw2k/,"New approach to identifying heat treated silcrete near Pinnacle Point, South Africa","Raw surface roughness data and R code associated with a approach for identifying heat treated silcrete near Pinnacle Point, South Africa. 
    Hosted on the Open Science Framework",Social Science,2020-10-06,2020-10-23,None
